2D	2-Dimensional
3D	3-Dimensional
3M	Minnesota Mining and Manufacturing
4GL	Fourth Generation Language
4H	Head, Heart, Hands, Health
4WD	Four wheel Drive (see also FWD)
A	Aftermath
AA	Affirmative Action committee
AA	Alcoholics Anonymous
AA	Antiaircraft Artillery
AA	Associate in Accounting
AA	Automobile Association [England]
A&A	Astronomy and Astrophysics [Space]
AAA	American Automobile Association
AAAL	American Academy of Arts and Letters
AAAS	American Association for the Advancement of Science
AAII	American Association of Individual Investors
AAMSI	American Association for Medical Systems Informatics
AAO	Anglo-Australian Observatory [Space]
AAP	Affirmative Action Program
AARC	Anglo-American Cataloging Rules
AARN	Australian Academic Research Network [Networking]
AARP	American Association of Retired Persons
AAS	American Astronomical Society [Space]
AAVSO	American Association of Variable Star Observers [Space]
AB	ABle seaman
ABA	American Bar Association
ABA	American Basketball Association
ABA	American Booksellers Association
ABBR	ABBReviation
ABC	American Broadcasting Company [Corporate name]
AC	Alternating Current (ac, see also DC)
AC	Ante Christum (before Christ)
AC	Ante Cibum (before meals)
ACAA	Agricultural Conservation and Adjustment Administration
ACAWS	Advisory, Caution, And Warning System
ACBL	American Contract Bridge League
ACC	Argonne Code Center
ACCS	Army Command and Control System
ACD	Automatic Call Distributor [Telephony]
ACE	Advanced Composition Explorer [Space]
ACE	Advanced Computing Environments [Corporate name]
ACE	Automatic Calibration and Equalization
ACHEFT	Automated ClearingHouse Electronic Funds Transfer
ACK	ACKnowledge
ACL	Advanced Cmos Logic
ACLU	American Civil Liberties Union
ACM	Association for Computing Machinery
ACRV	Assured Crew Return Vehicle (or) Astronaut Crew Rescue Vehicle [Space]
ACS	Advanced Communications System
ACSE	Association Control Service Entity (ISO/CCITT layer 7)
ACT	Action for Children's Television (in Cambridge, MA)
ACT	American Conservatory Theater
ACTS	Advanced Communications Technology Satellite
ACTS	Automatic Coin Telephone Service [Telephony]
ACU	Alarm Control Unit
ACU	Automatic Call Unit [Telephony]
ACW	Alternating Continuous Waves
AD	After Date
A/D	Analog to Digital converter (see ADC)
AD	Anno Domini (in the year of our Lord)
AD	Application Development
ADAP	Alzheimer's disease-associated protein
ADAP	American Discount Auto Parts [Corporate name]
ADB	A DeBugger
ADB	Apple Desktop Bus
ADC	Analog to Digital Converter
ADCI	Automatic Display Call Indicator 
AD&D	Advanced Dungeons & Dragons
ADF	Automatic Direction Finder
ADM	ADMiral
ADP	Adenosine Di-Phosphate
ADP	Administrative Data Processing
ADP	Advanced Data Processing
ADPCM	Pulse Code Modulation with Adaptive Quantization
ADS	Application Development System
ADSR	Attack Decay Sustain Release
ADT	Abstract Data Type
ADT	Atlantic Daylight Time
AE	Application Execution
AEA	American Electronics Association
AEC	Atomic Energy Commission
AEF	American Expeditionary Force (see BEF)
AEGIS	Advanced Electronic Guidance and Instrumentation System
AF	Adventures in Fantasy
AF	Air Force
AF	Audio Frequency
AFADS	Automatic Force Adjustment Data System 
AFATDS	Advanced Field Artillery Tactical Data System
AFB	Air Force Base
AFC	American Football Conference
AFC	Automatic Flight Control
AFC	Automatic Frequency Control
AFCAC	Air Force Computer Acquisition Center
AFCC	Air Force Communications Command
AFGE	American Federation of Government Employees
AFIPS	American Federation of Information Processing Societies
AFL	American Federation of Labor
AFL	American Football League
AFLCIO	American Federation of Labor and Congress of Industrial Organizations
AFNOR	Association Francaise de NORmalization
AFP	Appletalk Filing Protocol
AFS	Andrew File System
AFSC	Air Force Systems Command
AFSCME	American Federation of State, County and Municipal Employees
AFTRA	American Federation of Television and Radio Artists
AG	Adjutant General
AG	Arcade Game
AG	Attorney General
AGCT	Army General Classification Test
AGN	Active Galactic Nucleus [Space]
AHL	American Hockey League
AHQ	Air HeadQuarters
AI	Artificial Intelligence
AIAA	American Institute of Aeronautics and Astronautics [Space]
AIC	Automatic Intercept Center 
AID	Agency for International Development
AIDDE	Ames' Interactive Dynamic Display Editor
AIDS	Acquired ImmunoDeficiency Syndrome
AIOD	Automatic Identification Outward Dialing 
AIS	Automatic Intercept System
AIX	Advanced Interactive eXecutive (IBM's name for UNIX)
AJ	Astronomical Journal [Space]
AK	Alaska
AKA	Also Known As
AL	Alabama [US state postal designation]
AL	American League (baseball)
ALA	American Library Association
ALA	Automobile Legal Association
ALBM	Air-to-Land Ballistic Missile
ALC	Automatic Load Control
ALGOL	ALGOrithmic Language
ALIT	Automatic Line Insulation Testing [Telephony]
ALPO	Association of Lunar and Planetary Observers [Space]
ALS	Advanced Launch System [Space]
ALU	Arithmetic Logic Unit
A&M	Agricultural and Mechanical
AM	Amplitude Modulation
AM	Ante Meridiem (before noon)
AMA	American Medical Association
AMA	Automatic Message Accounting [Telephony]
AMARC	Automatic Message Accounting Recording Center 
AMBA	Association of Master of Business Administration
AMC	Albany Medical College
AMC	American Motors Corporation(?) [Corporate name]
AMC	Appalachian Mountain Club
AMD	Advanced Micro Devices [Corporate name]
AMEX	AMerican EXpress [Corporate name]
AMI	Alternate Mark Inversion (see also NRZ, NRZI, B8ZS)
AMORC	Ancient Mystic Order Rosae Crucis
AMP	Adenosine MonoPhosphate
AMPAS	Academy of Motion Picture Arts and Sciences
AMPAS	Acedemy of Motion Picture Arts and Sciences
AMRAAM	Advanced Medium Range Air-To-Air Missile
AMROC	American Rocket Company [Space]
AMSAT	radio AMateur SATellite corp.
AMU	Atomic Mass Unit
AMVET	AMerican VETeran
ANA	American Nurses Association
ANAC	Automatic Number Announcemnt Circuit [Telephony]
ANC	All Number Calling [Telephony]
ANC	Army Nurse Corps
ANDF	Architecture-Neural Distribution Format
ANF	Automatic Number Forwarding [Telephony]
ANG	Air National Guard
