K	Kilo- (metric 1000)
K9	canine (K9 corps - army dogs)
KAIST	Korean Advanced Institute of Science and Technology
KAO	Kuiper Airborne Observatory [Space]
KB	KiloByte
KC	King's Counsel (QC when queen reigning)
KC	Knights of Columbus
KD	Kiln Dried
KD	Knocked Down
KDCI	Key Display Call Indicator
KERMIT	Kl-10 Error-free Reciprocal Micro Interconnect over Tty lines
KET	Kentucky Educational Television
KHz	Kilo HertZ (unit of frequency, 1000 cycles per second)
KI	Kiwanis International
KIA	Killed In Action
KIAS	Knot Indicated Air Speed
Km	Kilometers
KO	Knock Out [Boxing, Electric]
KP	Key Pulse [Telephony]
KP	Kitchen Police
KPNO	Kitt Peak National Observatory
KPO	KeyPunch Operator
KQC	King's College London
K&R	Kernighan and Ritchie, the c programming language
KS	King's Scholar
KSC	Kennedy Space Center (NASA) [Space]
KSU	Key System Unit [Telephony]
KTB	Cretaceous-Tertiary Boundary (from German) [Space]
KTS	Key Telephone System [Telephony]
KTU	Key Telephone Unit [Telephony]
KWIC	Key Word In Context
KY	Kentucky
L1	Lagrange Point #1 35,000 Miles above moon [Space]
L2	Lagrange Point #2 40,000 Miles behind moon [Space]
L3	Lagrange Point #3 (?? 35,000 Miles below moon) [Space]
L4	Lagrange Point #4 240,000 mile Earth orbit [Space]
L5	Lagrange Point #5 240,000 mile Earth orbit [Space]
LA	Los Angeles
LA	Louisiana
LA	Low Altitude
LADAR	LAser Detection And Ranging
LAM	Master of Liberal Arts
LAMA	Local Automatic Message Accounting [Telephony]
LAN	Local Apparent Noon
LAN	Local Area Network
LANL	Los Alamos National Laboratory [Space]
LANL	Los Alamos (NM) National Laboratory
LAPB	Link Access Procedure (Balanced)
LAPD	Link Access Procedure (??)
LAPD	Los Angeles (CA, US) Police Department
LAR	Local Acquisition Radar
LaRC	Langley Research Center (NASA) [Space]
LASER	Light Amplification by Stimulated Emission of Radiation
LAT	Local Apparent Time
LATA	Local Access and Transport Area [Telephony]
LAX	Los Angeles International Airport
LB	Light Bomber
LB	pound (LiBra)
LBHS	Long Beach High School
LBL	Lawrence Berkeley (Calif.) Labs
LBS	Pounds
LC	inductor-Capacitor circuit (as in filters, L is symbol inductance)
LCD	Liquid Crystal Display
LCD	Lowest Common Denominator
LCDR	Lieutenant Commander
LCL	Less than Carload Lot [Railroading]
LCL	Lunar Cargo Lander [NASA OEXP]
LCM	Least Common Multiple
LCM	Life Cycle Management
LCS	Laboratory for Computer Science (of MIT)
LCT	Landing Craft Tanks
LD	Long Distance [Telephony]
LDC	Long Distance Carrier [Telephony]
LDEF	Long Duration Exposure Facility [Space, NASA]
LDF	Large Deployable Reflector [Space]
LDL	Low Density Lipoprotein
LDX	Long Distance eXtender [Telephony]
LEAP	Low-power Enhanced At Portable
LEC	Local Exchange Carrier [Telephony]
LED	Light Emitting Diode
LEM	Lunar Excursion Module (a.k.a. LM) (Apollo spacecraft) [Space]
LEO	Low Earth Orbit [Space]
LEP	Large Electron-Positron collider [CERN]
LeRC	Lewis Research Center (NASA) [Space]
LEST	Large Earth-based Solar Telescope [Space]
LF	Low Frequency (30-300KHz)
LFSA	List of Frequently Seen Acronyms (!) [Space]
LGA	Low Gain Antenna [Space]
LGM	Little Green Men [Space]
LH	Left Hand
LH	Liquid Hydrogen (also LH2 or LHX) [Space]
LH	Lower Half
LH	Luteinizing Hormone (same as ISCH)
LHC	Large Hadron Collider [CERN]
LHD	Litterarum Humaniorum Doctor (doctor of human letters)
LHS	Left Hand Side
LI	Long Island
LIFIA	Laboratoire d'Informatique Fondamentale et d'Intelligence Artificielle
LIFO	Last In First Out (see FIFO)
LINC	Laboratory INstrument Computer
LISA	Large Installation Systems Administration (USENIX specific?)
LISP	LISt Processing Language
LIU	Line Interface Unit
LL	Late Latin
LL	Long Lines [Telephony]
LLB	Legum Baccalaureus (bachelor of laws)
LLD	Legum doctor (doctor of laws)
LLN	Line Link Network [Telephony]
LLNL	Lawrence Livermore National Laboratories
LLO	Low Lunar Orbit [Space]
LLOX	Lunar Liquid Oxygen [Space]
LLP	Line Link Pulsing [Telephony]
LM	Life Master (Contract Bridge ranking)
LM	Lunar Module (a.k.a. LEM) (Apollo spacecraft) [Space]
LMC	Large Magellanic Cloud (see SMC)
LMC	Large Magellanic Cloud [Space]
LMOS	Line Maintenance Operations System [Telephony, AT&T]
LN2	Liquid N2 (Nitrogen) [Space]
LNG	Liquified Natural Gas
LOA	Lands of Adventure
LOFT	Launch Operations Flight Test [Space]
LOOPS	Lisp Object Oriented Programming System
LOP	Lines Of Position
LOSF	Lunar Orbit Staging Facility [Space]
LOTS	Low Overhead Timesharing System
LOX	Liquid Oxygen
LOX	Liquid OXygen [Space]
LP	Long Play(ing) (record)
LP	Low Pressure
LPC	Linear Predictive Coding (speech processing)
LPDA	Link Problem Determination Aid
LPF	League for Programming Freedom
LPG	Liquefied Petroleum Gas
LPG	Low Pressure Gas
LPL	Lunar Personnel Lander [NASA OEXP]
LPN	Licensed Practical Nurse
LPP	Licensed Program Products
LPR	Line PrinteR
LPT	Lunar Propellant Tanker [NASA OEXP]
LPV	Lunar Piloted Vehicle [NASA OEXP]
LRB	Liquid Rocket Booster [Space]
LRBM	Long Range Ballistic Missile
LRC	Longitudinal Redundancy Character
LRU	Least Recently Used
LRU	Line Replaceable Unit
LRV	Light Rail Vehicle [Railroading]
LS	Left Side
LS	Letter Signed
LS	Locus Sigilli (place of seal)
LSAP	Logical(?, maybe Link) Service Access Point [OSI, Networking]
LSB	Least Significant Bit; Least Significant Byte
LSB	Lower Side Band
LSC	Lecture Series Committee (of MIT)
LSC	LightSpeed C
LSD	Least Significant Digit
LSD	LySergic acid Diethylamide
LSD	pounds (Libra), shillings (Sestertii), and (old) pence (Denarii)
LSI	Large Scale Integration
LSP	LightSpeed Pascal
LSR	Local Standard of Rest [Space]
LSS	Life Support System
LSS	Loop Switching System
LSSD	Level-Sensitive Scan Detection
LT	Long Ton
LT	Low Tension
LTC	Lieutenant Colonel
LTJG	Lieutenant Junior Grade
LTL	Less than Truckload Lot
LTP	Lunar Transient Phenomenon [Space]
LUG	Local Users Group
LUT	Look-Up Table
LWM	Low-Water Mark
LWT	London Weekend Television [Corporate name]
LZ	Landing Zone
M	Mega- (metric 10^6)
m	meter(s)
m	milli- (metric 1/1000)
M	Miniatures
MA	Massachusetts [US state postal designation]
MAAP	Maintenance And Administration Panel
MAC	an MIT interdepartmental lab (stands for many things) (renamed to LCS)
MAC	Media Access Control
MAC	Medium Access Control
MAC	Military Air Command
MACSYMA project MAC's SYmbolic MAnipulation System
MAD	Mutual Assured Destruction
MADD	Mothers Against Drunk Driving
MAG	Magazine
MAN	Metropolitan Area Network
MAP	Manufacturing Automation Protocol
MAP/TOP Manufacturing Automation Protocol/Technical Office Protocol
MARBI	MAchine Readable form of Bibliographic Information
MARC	MAchine Readable card Catalog
MARS	Multiuser Archival and Retrieval System
MASC	Multiple Award Schedule Contract
MASER	Microwave Amplification by Stimulated Emission of Radiation
MASH	Mobile Army Surgical Hospital
